"id";"sritieskodas";"sritis";"forma";"vykdytojas";"projektas";"suma";"nefinansuojamadalis"
"841";"1.6";"teatras";"VšĮ";"Stalo Teatras";"Stalo teatro spektaklių sklaida Lietuvos regionuose socialinės atskirties vaikams";"4000.00";
"842";"1.15";"mėgėjų menas";"Labdaros i";"Stasio Petrausko atminimo įamžinimo labdaros ir paramos fondas";"Knygos ""Stasys Petrauskas (1950-2010): Panevėžio bitlas"" spausdinimas";"3000.00";
"843";"1.11";"muzika";"VšĮ";"Studija ""Vilniaus arsenalas""";"Muzikinės laiko ir erdvės koordinatės";"2000.00";
"844";"1.13";"kinas";"VšĮ";"STUDIJA KINEMA";"Festivalis ""Nebylaus kino muzika""";"5000.00";
"845";"1.12";"literatūra";"VšĮ";"Šv. Jono gatvės galerija";"Komikso knygos Vilniaus miesto legendos leidyba";"2500.00";
"846";"1.3";"dailė";"VšĮ";"Šv. Jono gatvės galerija";"Baltijos iliustracija 2. Komiksai";"2000.00";
"847";"1.19";"kultūros paveldas";"VšĮ";"Šv. Juozapo brolija filialas leidykla ""Agapetos""";"Kultūros paveldo populiarinimo leidiniai apie Viešpaties Jėzaus trinitorių bažnyčią (Sapiegų rūmų ansamblį)";"6300.00";
"848";"1.14";"etninė kultūra ir tautodailė";"Asociacija";"Šv. Kazimiero ordino Utenos apskrities komtūrija";"""Rytų Aukštaitijos regiono Utenos krašto etnografiniai kaimai. II etapas""";"5700.00";
"849";"1.1";"architektūra";"VšĮ";"Sveikatingumo idėjos";"Marijampolė, Londonas, Niujorkas: minčių migracija II";"7000.00";
"850";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Švenčionių miesto kultūros centras";"Folkloro šventė Adutiškyje ""Ciūta rūta""";"2000.00";
"851";"1.3";"dailė";"Asociacija";"Tarptautinės dailės kritikų asociacijos (AICA) Lietuvos sekcija";"Knygos ""Menininkų autobiografijos"" leidyba";"2500.00";
"852";"1.12";"literatūra";"Asociacija";"Tarptautinės vaikų ir jaunimo literatūros asociacijos Lietuvos skyrius";"Vaikų knyga nuo rašytojo iki skaitytojo: analizė, vertinimas, sklaida";"5000.00";
"853";"1.12";"literatūra";"Asociacija";"Tarptautinės vaikų ir jaunimo literatūros asociacijos Lietuvos skyrius";"9-asis tarptautinis seminaras ""Jūra ir vaikų literatūra"" Klaipėdoje";"3400.00";
"854";"1.12";"literatūra";"Asociacija";"Tarptautinės vaikų ir jaunimo literatūros asociacijos Lietuvos skyrius";"Lietuviška knyga vaikams - skrydis į pasaulį";"2700.00";
"855";"1.15";"mėgėjų menas";"Labdaros i";"Tarptautinio liaudiškos muzikos ir šokių festivalio ""Ežerų sietuva"" paramos fondas";"Tarptautinio liaudiškos muzikos ir šokių festivalis ""Ežerų sietuva""";"3000.00";
"856";"1.15";"mėgėjų menas";"Asociacija";"Tautkaičių kaimo klojimo teatro draugija ""Gegnė""";"Amerika pirtyje - 110";"1000.00";
"857";"1.14";"etninė kultūra ir tautodailė";"VšĮ";"Tautodailininkų sąjungos fondas";"Dokumentinio pilnametražio filmo ""Vytautas Valiušis"" sukūrimas";"3000.00";
"858";"1.6";"teatras";"VšĮ";"Teatras „Mens publica“";"Spektaklis pagal I. Vyrypajavo Dream Works";"10000.00";
"859";"1.6";"teatras";"VšĮ";"Teatras „Mens publica“";"Susitikimų ciklas Uždaras vakaras. Persona grata...";"5000.00";
"860";"1.6";"teatras";"VšĮ";"Teatras „Utopija“";"Naujųjų Utopijų laboratorija (I etapas)";"10000.00";
"861";"1.6";"teatras";"VšĮ";"Teatras „Utopija“";"Režisūrinių debiutų sklaida regionuose";"8000.00";
"862";"1.6";"teatras";"VšĮ";"Teatras „Utopija“";"Spektaklio „Sapnas“ (rež. K. Gudmonaitė) dalyvavimas festivalyje „Sens Interdits 2015“ Prancūzijoje";"5000.00";
"863";"1.6";"teatras";"VšĮ";"Teatras Atviras ratas";"Spektaklių „Lietaus žemė“ ir „Senelės pasaka“ pristatymas Jungtinėse Amerikos Valstijose";"10000.00";"Visos, išskyrus kelionės išlaidos"
"864";"1.6";"teatras";"VšĮ";"Teatras Cezario grupė";"Poezijos spektaklio sukūrimas K. Binkis „Tamošius Bekepuris“";"12000.00";"Visos, išskyrus spektaklio sukūrimo išlaidos"
"865";"1.6";"teatras";"VšĮ";"Teatras Cezario grupė";"Mobilus teatras: spektakliai ir poezija Lietuvos miesteliams";"7000.00";
"866";"1.6";"teatras";"VšĮ";"Teatras MENO FORTAS";"Spektaklio „Bado miestas“ F. Kafkos apsakymų motyvais pastatymas";"20000.00";
"867";"1.6";"teatras";"VšĮ";"Teatras MENO FORTAS";"Eimunto Nekrošiaus spektaklių sklaida Lietuvoje 2015 I";"12000.00";
"868";"1.6";"teatras";"VšĮ";"Teatras MENO FORTAS";"Spektaklio „Dieviškoji komedija“ gastrolės Meksikoje";"11000.00";
"869";"1.6";"teatras";"VšĮ";"Teatras TIK";"Spektaklio apie Lazdynų Pelėdą sukūrimas ir sklaida";"5000.00";"Visos, išskyrus spektaklio sukūrimo išlaidos"
"870";"1.6";"teatras";"VšĮ";"TEATRIUKAS";"LABAS – mažų formų teatro pasirodymai patiems mažiausiems";"5000.00";
"871";"1.6";"teatras";"VšĮ";"Teatro ir kino informacijos ir edukacijos centras";"Dokumentinė vaizdo apybraiža „Krystianas Lupa – Lietuvos teatre“";"4000.00";
"872";"1.6";"teatras";"VšĮ";"Teatro projektai";"Spektaklio Gerald Sibleyras „Vėjas topolių viršūnėse“ sklaida";"5000.00";
"873";"1.7";"cirkas";"Asociacija";"Teatronas";"Šiuolaikinio cirko ir klounados kūrybinės dirbtuvės";"5000.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"874";"1.6";"teatras";"Asociacija";"Teatrų vaikams ir jaunimui asociacija ASITEŽAS";"Teatras keliauja pas vaikus";"5000.00";
"875";"1.3";"dailė";"VšĮ";"Tekstilininkų ir dailininkų gildija";"Tarptautinė tęstinė paroda ""Eksperimentai su šviesa: meno laboratorija""";"4400.00";
"876";"1.17";"archyvas";"BĮ";"Telšių apskrities archyvas";"Telšių žydų bendruomenė istorijos šaltiniuose";"1800.00";
"877";"1.14";"etninė kultūra ir tautodailė";"Asociacija";"Telšių jaunimo etno klubas „Čiučiuruks“";"Knygos ""Žemaitiū Ožgavieniū tautuosakas rėnktėnė";"3000.00";
"878";"1.15";"mėgėjų menas";"Asociacija";"Telšių jaunimo etno klubas „Čiučiuruks“";"Žemaičių folkloro sklaida skirtingų tautų kultūrų įvairovė";"2000.00";"Visos, išskyrus vaikų kelionių išlaidos"
"879";"1.3";"dailė";"VšĮ";"Telšių menų inkubatorius";"Kūrybinės dirbtuvės ""Metalo interpretacijos 2015""";"2000.00";
"880";"1.15";"mėgėjų menas";"BĮ";"Telšių rajono savivaldybės kultūros centras";"Telšių krašto Dainų šventė ""Žemaitija - garsių žemaičių žemė""";"5000.00";
"881";"1.12";"literatūra";"VšĮ";"Thomo Manno kultūros centras";"Almanacho ""Nidos sąsiuviniai X tomas"" paruošiamieji darbai ir leidyba";"1700.00";
"882";"1.2";"tarpsritiniai projektai";"Asociacija";"Tradicinių ir istorinių laivų asociacija";"Jūrinės kultūros ir tradicinės laivadirbystės sklaidos misija Burpilis 2015";"5000.00";
"883";"1.15";"mėgėjų menas";"BĮ";"Trakų r. Rūdiškių muzikos mokykla";"XII tarptautinis pučiamųjų orkestrų festivalis ""Atataria vamzdžiai""";"4000.00";
"884";"1.19";"kultūros paveldas";"BĮ";"Trakų rajono savivaldybės viešoji biblioteka";"Tiltų krašto kaimai šimtmečių kaitoje";"3700.00";
"885";"1.2";"tarpsritiniai projektai";"VšĮ";"Turizmo plėtros departamentas";"Kultūrinio turizmo maršrutas ""M. K. Čiurlionio gyvenimo ir kūrybos keliais""";"3000.00";
"886";"1.19";"kultūros paveldas";"VšĮ";"TV Europa";"UNESCO pasaulio paveldo žemėlapis. Lietuva";"5800.00";
"887";"1.12";"literatūra";"UAB";"Tyto alba";"Knygos „Skiriama M. Pasaulio meilės lyrika“ (sudarytojas Kornelijus Platelis) parengimas ir leidyba";"6000.00";
"888";"1.12";"literatūra";"UAB";"Tyto alba";"Knygos Mary Beard „Pompėjai“ vertimas, parengimas ir leidyba";"4000.00";
"889";"1.12";"literatūra";"UAB";"Tyto alba";"Knygos Danutė Kalinauskaitė ""Skersvėjų namai"" parengimas ir leidyba";"3000.00";
"890";"1.12";"literatūra";"UAB";"Tyto alba";"Knygos Kristina Gudonytė „Jie grįžta per pilnatį“ parengimas ir leidyba";"3000.00";
"891";"1.12";"literatūra";"UAB";"Tyto alba";"Knygos Kęstutis Navakas „Begarsis skambutis“ parengimas ir leidyba";"2500.00";
"892";"1.11";"muzika";"VšĮ";"Tytuvėnų festivalis";"XII Tarptautinis Tytuvėnų vasaros festivalis";"20000.00";
"893";"1.18";"muziejus";"BĮ";"Ukmergės kraštotyros muziejus";"Inovatyvių priemonių panaudojimas edukaciniame užsiėmime ""Partizaninis judėjimas Ukmergės krašte 1944- 1953 m.""";"2000.00";
"894";"1.11";"muzika";"BĮ";"Ukmergės kultūros centras";"Tarptautinis perkusinės muzikos festivalis ""Percussion Ukmergė 2015""";"8000.00";
"895";"1.15";"mėgėjų menas";"BĮ";"Ukmergės kultūros centras";"Respublikinis kamerinių ir vokalinių ansamblių festivalis - konkursas ""Šventosios gaida""";"3000.00";"Leidybos išlaidos"
"896";"1.2";"tarpsritiniai projektai";"VšĮ";"Ukmergės turizmo ir verslo informacijos centras";"Gediminaičių dinastijos pėdsakais";"2500.00";
"897";"1.13";"kinas";"VšĮ";"Uljana Kim ir ko";"Lietuvių filmų centras internete";"10000.00";
"898";"1.13";"kinas";"UAB";"Ultra Nominum";"Arūno Matelio filmų išsaugojimas ir sklaida bluray formatu";"4000.00";
"899";"1.10-";"šokis";"VšĮ";"Urbanistinio Šokio teatras Low Air";"Šiuolaikinio šokio spektaklis Šventasis pavasaris sukūrimas ir sklaida";"10000.00";
"900";"1.13";"kinas";"BĮ";"Utenos A.ir M. Miškinių viešoji biblioteka";"Kino sklaida ""Pažintis su lietuvišku kinu bibliotekoje""";"1000.00";
"901";"1.16";"biblioteka";"BĮ";"Utenos A.ir M. Miškinių viešoji biblioteka";"Atminties institucija – inovatyvi ugdymo erdvė jaunimui";"9000.00";
"902";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Utenos kraštotyros muziejus";"""Molia kermošius"" Vytauto Valiušio keramikos muziejuje";"3000.00";
"903";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Utenos kraštotyros muziejus";"Tradicinė liaudies grafika: medžio raižiniai";"1500.00";
"904";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Utenos kultūros centras";"X-oji Lietuvos kanklininkų vasaros stovykla ""Skambantys kankleliai - 2015""";"5700.00";
"905";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Utenos kultūros centras";"Etninės kultūros atspindžiai Užpalių bendruomenės tradicijose";"1500.00";"Išlaidos suvenyrams"
"906";"1.2";"tarpsritiniai projektai";"BĮ";"Valstybinio Kernavės kultūrinio rezervato direkcija";"XVI tarptautinis eksperimentinės archeologijos festivalis ""Gyvosios archeologijos dienos Kernavėje""";"10000.00";
"907";"1.6";"teatras";"BĮ";"Valstybinis jaunimo teatras";"Spektaklis „Geras žmogus iš Sezuano“ pagal Bertoldo Brechto pjesės motyvus";"20000.00";
"908";"1.6";"teatras";"BĮ";"Valstybinis jaunimo teatras";"Spektaklis jaunimui „Priesakai sūnui“";"10000.00";"Visos, išskyrus spektaklio sukūrimo išlaidos"
"909";"1.6";"teatras";"BĮ";"Valstybinis jaunimo teatras";"Leidinio Valstybinis jaunimo teatras paruošiamieji darbai (I etapas)";"5000.00";
"910";"1.3";"dailė";"BĮ";"Valstybinis Vilniaus Gaono žydų muziejus";"Michelis Kikoine""as- P. Cezanne""o sekėjas iš Vilniaus dailės mokyklos";"10000.00";
"911";"1.6";"teatras";"BĮ";"Valstybinis Vilniaus mažasis teatras";"Valstybinio Vilniaus mažojo teatros gastrolės užsienyje";"20000.00";"Visos, išskyrus spektaklių gastrolėms į Tbilisį ir Tel Avivą"
"912";"1.6";"teatras";"BĮ";"Valstybinis Vilniaus mažasis teatras";"Spektaklio pagal Thomo Bernhardo pjesę „Minetis“ sukūrimas";"15000.00";
"913";"1.3";"dailė";"VšĮ";"Vandens bokštas";"Skulptūrinės kompozicijos pokalbis su gamta";"4000.00";
"914";"1.3";"dailė";"VšĮ";"Vandens bokštas";"Juozo Laivio personalinė paroda";"2000.00";
"915";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Varėnos kultūros centras";"Folkloro festivalis ""Dzūkų godos""";"4100.00";
"916";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Varėnos kultūros centras";"Jaunose rankose- sakralinė skulptūra";"2000.00";
"917";"1.15";"mėgėjų menas";"BĮ";"Varėnos kultūros centras";"Muzikos ir meno festivalis ""Rudens sonata"", skirtas M. K. Čiurlionio 140-osioms gimimo metinėms";"4000.00";
"918";"1.6";"teatras";"BĮ";"Varėnos kultūros centras";"VI Dalios Tamulevičiūtės profesionalių teatrų festivalis Varėnoje";"5000.00";"Nepagrindinės festivalio išlaidos"
"919";"1.18";"muziejus";"BĮ";"Varėnos rajono savivaldybės Merkinės kraštotyros ir genocido muziejus";"Tarpukario Lietuvos policininko Juozo Kvaraciejaus atsiminimų knygos leidyba";"1600.00";
"920";"1.11";"muzika";"VšĮ";"Vargonų paveldo centras";"Viešų paskaitų ciklas ""Baroko vargondirbystės menas Lietuvoje"" ir kompaktinės plokštelės ""Lietuvos istoriniai vargonai 2"" parengimas ir leidyba";"3000.00";
"921";"1.19";"kultūros paveldas";"VšĮ";"Vargonų paveldo centras";"Interaktyvi duomenų bazė ""Istoriniai Lietuvos vargonai"": duomenų rengimas ir talpinimas www.vargonai.com";"4800.00";
"922";"1.12";"literatūra";"VšĮ";"Vario burnos";"Bumba Dumba Kabančių Riestainių gatvėje (knygos leidyba)";"2000.00";
"923";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Ventos regioninio parko direkcija";"Mokomasis filmas ""Raugo keramika""";"1500.00";
"924";"1.14";"etninė kultūra ir tautodailė";"VšĮ";"Via artis";"Mitologinė-muzikinė drama ""Dūšelės"" su teatralizuota edukacine ekskursija paveldosauginę reikšmę turinčiuose objektuose pagal senuosius lietuviškus apeiginius mirusiojo palydėjimo tekstus";"8000.00";
"925";"1.2";"tarpsritiniai projektai";"VšĮ";"Via Artis";"Aistės Smilgevičiūtės ir grupės Skylė naujo albumo Vilko Vartai įrašymas, leidyba ir pristatymo koncertai Lietuvoje ir Latvijoje";"5000.00";"Visos, išskyrus garso įrašymo darbų išlaidos"
"926";"1.2";"tarpsritiniai projektai";"VšĮ";"Via artis";"Lietuvos ir Ukrainos kultūrinio, socialinio bei politinio dialogo skatinimo projektas ""Broliai""";"5000.00";"Visos, išskyrus dainų tekstų vertimų į ukrainiečių ir anglų kalbas ir kelionės išlaidos"
"927";"1.8";"opera";"VšĮ";"Viešoji koncertinė įstaiga ""Banchetto Musicale""";"Monteverdi opera ""Orfėjas""";"25000.00";
"928";"1.15";"mėgėjų menas";"BĮ";"Vievio kultūros centras";"Chorų festivalis ""Mūsų dainose""";"5000.00";"DVD gamybos ir leidybos išlaidos"
"929";"1.13";"kinas";"UAB";"Vilanimos filmų studija";"Tryliktasis tarptautinis animacinių filmų festivalis Lietuvoje Tindirindis 2015";"10000.00";
"930";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Vilkaviškio krašto muziejus";"Sūduvių amatų šventė";"2000.00";
"931";"1.15";"mėgėjų menas";"BĮ";"Vilkaviškio kultūros centras";"Teatro vakarai ""Po paupio gluosniais""";"2000.00";
"932";"1.15";"mėgėjų menas";"BĮ";"Vilkaviškio kultūros centras";"IV-asis respublikinis liaudiškų šokių festivalis ""Pašok man savo šokį""";"2000.00";
"933";"1.11";"muzika";"Asociacija";"Vilniaus akordeonistų draugija";"XXI tarptautinis akordeonistų festivalis Palanga 2015";"2000.00";
"934";"1.16";"biblioteka";"BĮ";"Vilniaus apskrities Adomo Mickevičiaus viešoji biblioteka";"Urbanistinio stiliaus jaunimo skaitymo festivalis „(re)stArT: skaitymas ar tamsa“";"6100.00";
"935";"1.16";"biblioteka";"BĮ";"Vilniaus apskrities Adomo Mickevičiaus viešoji biblioteka";"Mokymų programa „Vilnijos krašto kultūros paveldo raiška: skaitmeninio turinio kūrimas ir sklaida“";"4000.00";
"936";"1.16";"biblioteka";"BĮ";"Vilniaus apskrities Adomo Mickevičiaus viešoji biblioteka";"Leidinio „Pasižvalgymai po Vilnių: miesto mikrorajonai“ leidyba ir pristatymas jaunimui, II tęstinio projekto dalis";"2500.00";
"937";"1.12";"literatūra";"VšĮ";"Vilniaus dailės akademija";"Stanislovas Moravskis, Iš visur po truputį, t. 2 : Broliai bajorai";"3600.00";
"938";"1.19";"kultūros paveldas";"VšĮ";"Vilniaus dailės akademija";"Biržulio regionas. Medžiotojai, žvejai ir senieji žemdirbiai 9 - 2 tūkstantmečiai pr. Kr.";"5000.00";
"939";"1.19";"kultūros paveldas";"VšĮ";"Vilniaus dailės akademija";"Kražių mokykla ir gimnazija 1774-1844 m.";"3400.00";
"940";"1.19";"kultūros paveldas";"VšĮ";"Vilniaus dailės akademija";"Senoji Žemaitijos praeitis";"2100.00";
"941";"1.2";"dizainas";"VšĮ";"Vilniaus dailės akademija";"Jaunųjų dizaino kūrėjų verslumo ir kūrybingumo platFORMA";"9000.00";
"942";"1.2";"dizainas";"VšĮ";"Vilniaus dailės akademija";"Jaunojo dizainerio prizas 2015";"7000.00";
"943";"1.2";"dizainas";"VšĮ";"Vilniaus dailės akademija";"Platforma ""Kūrybinė destrukcija"" Londono dizaino festivalyje";"7000.00";
"944";"1.2";"dizainas";"VšĮ";"Vilniaus dailės akademija";"Lietuvos dizaino specialybės pradininko Felikso Daukanto 100- mečio renginių ciklas";"5500.00";
"945";"1.2";"dizainas";"VšĮ";"Vilniaus dailės akademija";"Olandų dizainerės Ineke Hans kūrybinės pratybos jaunosios kartos dizaino kūrėjams";"3000.00";
"946";"1.2";"dizainas";"VšĮ";"Vilniaus dailės akademija";"Tarptautinis tęstinis rašto meno projektas ""Keliaujančios raidės 2015""";"3000.00";
"947";"1.2";"dizainas";"VšĮ";"Vilniaus dailės akademija";"Nemuno žemupio regiono kultūrinio paveldo aktualizavimas, atgaivinant senuosius laivybos kelius";"3000.00";
"948";"1.3";"dailė";"VšĮ";"Vilniaus dailės akademija";"Lost & found, young Lithuanian art";"8000.00";
"949";"1.3";"dailė";"VšĮ";"Vilniaus dailės akademija";"Tarptautinis šiuolaikinės juvelyrikos simpoziumas AKIS 2015 TELŠIAI, konferencija ir parodos";"5000.00";
"950";"1.3";"dailė";"VšĮ";"Vilniaus dailės akademija";"Parodos Absoliuti tekstilė albumo leidykla";"4000.00";
"951";"1.3";"dailė";"VšĮ";"Vilniaus dailės akademija";"Birutė Stulgaitė: gryna";"3500.00";
"952";"1.3";"dailė";"VšĮ";"Vilniaus dailės akademija";"Lietuvos medalio kūrėjų stovykla ""Telšiai- Lietuvos kultūros sostinė 2016 m.""";"3000.00";
"953";"1.3";"dailė";"VšĮ";"Vilniaus dailės akademija";"Albertas Gurskas: kūryba";"2000.00";
"954";"1.5";"tarpdisciplininis menas";"VšĮ";"Vilniaus dailės akademija";"5-asis simpoziumas Inter-formatas ir meninių intervencijų programa VDA Nidos meno kolonijoje";"7000.00";
"955";"1.5";"tarpdisciplininis menas";"VšĮ";"Vilniaus dailės akademija";"Tarptautinis meninio tyrimo forumas ir sinestezinių menų festivalis Dūmai ir veidrodžiai VDA Nidos meno kolonijoje";"6000.00";
"956";"1.19";"kultūros paveldas";"Asociacija";"Vilniaus dailiųjų amatų asociacija";"Tarptautinis ""Nykstančių tradicinių architektūros profesijų atgaivinimas""";"2000.00";"Kelionės išlaidos"
"957";"1.11";"muzika";"VšĮ";"Vilniaus džiazo festivalis";"XXVIII tarptautinis džiazo muzikos festivalis ""Vilnius Jazz 2015""";"25000.00";
"958";"1.11";"muzika";"VšĮ";"Vilniaus džiazo klubas";"Tarptautinis džiazo muzikos festivalis Vilniaus Mama Jazz 2015";"25000.00";
"959";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Vilniaus etninės kultūros centras";"Tarmių žaidimas ""Kon saka""";"4400.00";
"960";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Vilniaus etninės kultūros centras";"Knyga Nuo pintinės iki rankinės";"4200.00";
"961";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Vilniaus etninės kultūros centras";"Pavasario ir Rudens lygiadienių renginiai Šventaragio ugnys";"2000.00";
"962";"1.15";"mėgėjų menas";"BĮ";"Vilniaus etninės kultūros centras";"XLIII tarptautinis folkloro festivalis ""Skamba skamba kankliai""";"20000.00";
"963";"1.15";"mėgėjų menas";"BĮ";"Vilniaus etninės kultūros centras";"Kompaktinė plokštelė ""Kodėl saulė naktį miega?""";"2000.00";
"964";"1.19";"kultūros paveldas";"BĮ";"Vilniaus etninės kultūros centras";"CD Pasakos su dainuojamaisiais intarpais";"2700.00";
"965";"1.19";"kultūros paveldas";"BĮ";"Vilniaus etninės kultūros centras";"Konferencija Sodų tyrimai ir sklaida";"2600.00";
"966";"1.11";"muzika";"VšĮ";"Vilniaus festivaliai";"Tarptautinio muzikinio- audiovizualinio projekto įgyvendinimas (spektaklio pastatymas)";"15000.00";
"967";"1.11";"muzika";"VšĮ";"Vilniaus festivaliai";"Lietuvių muzikos pristatymas Europos festivaliuose";"5000.00";
"968";"1.3";"dailė";"VšĮ";"Vilniaus grafikos meno centras";"Lietuvių grafikos sklaida užsienyje";"6000.00";
"969";"1.3";"dailė";"VšĮ";"Vilniaus grafikos meno centras";"Leidinio apie grafiką Telesforą Kulakauską leidyba";"6000.00";
"970";"1.3";"dailė";"VšĮ";"Vilniaus grafikos meno centras";"Leidinio apie dailininką Mikalojų Povilą Vilutį parengimas spaudai";"4000.00";
"971";"1.3";"dailė";"VšĮ";"Vilniaus grafikos meno centras";"Piešinio parodų ciklas 2015";"3000.00";
"972";"1.6";"teatras";"VšĮ";"Vilniaus kamerinis teatras";"Vilniaus Kamerinio teatro spektaklio vaikams „Emilis iš Lionebergos“ sklaida Lietuvos regionuose";"6165.00";
"973";"1.11";"muzika";"BĮ";"Vilniaus miesto savivaldybės choras Jauna Muzika";"KAGEL+";"10000.00";
"974";"1.8";"opera";"VšĮ";"Vilniaus miesto opera";"S. Prokofjevo operos ""Ugninis angelas"" pastatymas ir atlikimas";"20000.00";
"975";"1.19";"kultūros paveldas";"BĮ";"Vilniaus pilių valstybinio kultūrinio rezervato direkcija";"Baltijos kelias ir mūsų laisvė";"3000.00";
"976";"1.19";"kultūros paveldas";"VšĮ";"Vilniaus senamiesčio atnaujinimo agentūra";"Gaisrinės saugos stiprinimas kultūros paveldo pastatuose, kuriuose saugomos kultūros paveldo vertybės";"4000.00";
"977";"1.11";"muzika";"Asociacija";"VILNIAUS ŠV. KAZIMIERO GRIGALIŠKOJO CHORALO STUDIJA";"Grigališkojo choralo savaitė Marijampolė 2015";"2000.00";
"978";"1.6";"teatras";"BĮ";"Vilniaus teatras „Lėlė“";"Spektaklio vaikams „Visi lekia, skrieja ir šuoliuoja“ pastatymas";"10000.00";
"979";"1.6";"teatras";"BĮ";"Vilniaus teatras „Lėlė“";"Vilniaus teatras „Lėlė“ Rytų Lietuvos vaikams";"7000.00";
"980";"1.6";"teatras";"BĮ";"Vilniaus teatras „Lėlė“";"Spektaklio vaikams „Evoliucija“ pastatymas";"7000.00";
"981";"1.16";"biblioteka";"VšĮ";"Vilniaus Universitetas";"Tęstinio leidinio „Vilniaus universiteto bibliotekos metraštis“ išleidimas";"4000.00";
"982";"1.18";"muziejus";"VšĮ";"Vilniaus universitetas";"Modulinio mokymo programa ""Modernaus muziejaus specialistų kompetencijų ugdymas""";"20000.00";
"983";"1.19";"kultūros paveldas";"VšĮ";"Vilniaus universitetas";"Eksperimentinė archeologija. Lietuvos materialaus paveldo rekonstrukcija. 1 tomas";"12200.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo išlaidos"
"984";"1.19";"kultūros paveldas";"VšĮ";"Vilniaus universitetas";"Smalvų krašto žmonių pasakojimai. Kalbų ir kultūrų sąveikos atspindžiai";"3600.00";
"985";"1.19";"kultūros paveldas";"VšĮ";"Vilniaus universitetas";"Lietuva Vilniaus universiteto bibliotekoje";"3400.00";
"986";"1.3";"dailė";"VšĮ";"Vilniaus universitetas";"Barbora Didžiokienė: mažosios dailininkės prisiminimai. II tomo spausdinimas";"3600.00";
"987";"1.15";"mėgėjų menas";"Asociacija";"Vilniaus universiteto Studentų atstovybė";"Midi roko opera 2015";"2000.00";
"988";"1.2";"tarpsritiniai projektai";"Labdaros i";"Vilniaus žydų viešosios bibliotekos labdaros ir paramos fondas";"Žydų kultūros dienos Žagarėje";"3000.00";
"989";"1.6";"teatras";"VšĮ";"Visagino atspindys";"X tarptautinis monospektaklių festivalis „Atspindys“";"7000.00";
"990";"1.13";"kinas";"BĮ";"Visagino kultūros centras";"Lietuviškas kinas mano mieste";"4000.00";
"991";"1.15";"mėgėjų menas";"BĮ";"Visagino kultūros centras";"Edukacinė programa ""Ažu vario vartelių""";"1500.00";"Nakvynės išlaidos"
"992";"1.15";"mėgėjų menas";"Asociacija";"Vizualaus meno klubas ""Baltas kluonas""";"Trumpo filmo festivalis ""Baltasis kluonas2015""";"1200.00";
"993";"1.4";"fotografija";"Asociacija";"Vizualiojo meno kūrėjų asociacija";"Aleksandro Ostašenkovo meninių fotografijų knyga (albumas) ""Būsenos"" (2003-2015)";"7000.00";
"994";"1.6";"teatras";"VšĮ";"Vizualios mintys";"Spektaklio „Prabangos“ sklaida regionuose";"5000.00";
"995";"1.11";"muzika";"VšĮ";"Vox organum";"IX tarptautinis Martyno Mažvydo festivalis ""Giesmė mano žemei""";"3000.00";
"996";"1.10-";"šokis";"VšĮ";"Vyčio Jankausko šokio teatras";"Šiuolaikinio šokio seminarų ciklas";"5000.00";
"997";"1.19";"kultūros paveldas";"VšĮ";"Vytauto Didžiojo universitetas";"Pasivaikščiojimai po medinį Kauną: Kauno miesto medinės architektūros skaitmeniniai maršrutai";"2500.00";
"998";"1.3";"dailė";"VšĮ";"Vytauto Didžiojo universitetas";"Tęstinis VDU Menų galerijos ""101"" projektas KONT(R)_AKTAI";"4000.00";
"999";"1.11";"muzika";"Asociacija";"XXI Amžiaus Muzika ir Švietimas, Lietuvos Muzikų Draugija";"XV tarptautinis konkursas - festivalis Muzika be sienų";"6500.00";
"1000";"1.5";"tarpdisciplininis menas";"VšĮ";"Young Poor Artists";"Young Poor Artists POP- UP Galerija";"5000.00";
"1001";"1.11";"muzika";"BĮ";"Žagarės regioninio parko direkcija";"Žagarės vyšnių festivalis ""Renkasi geriausieji""";"6000.00";
"1002";"1.2";"tarpsritiniai projektai";"BĮ";"Žagarės regioninio parko direkcija";"Žagarė - istorinis iškilių žmonių ir amatininkų miestas";"5000.00";
"1003";"1.3";"dailė";"BĮ";"Žagarės regioninio parko direkcija";"Dekoratyvaus gobeleno sieninių pano klasikinės batikos technika sukūrimas istoriniuose Žagarės dvaro rūmuose";"2000.00";
"1004";"1.18";"muziejus";"VšĮ";"Žaislų muziejus";"Muziejus mano delne";"8000.00";
"1005";"1.14";"etninė kultūra ir tautodailė";"Asociacija";"Žaliųjų klubas ""Gojus""";"XIX pirmosios pavasario žalumos šventė Jorė 2015";"2000.00";
