"id";"sritieskodas";"sritis";"forma";"vykdytojas";"projektas";"suma";"nefinansuojamadalis"
"720";"1.6";"teatras";"BĮ";"Radviliškio miesto kultūros centras";"„Auksiniai scenos kryžiai“ Radviliškyje";"5000.00";
"721";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Rambyno regioninio parko direkcija";"Tradicinė lietuvininkų Palaunagė - nuo Rambyno iki Pamario vėtrungių";"1700.00";
"722";"1.6";"teatras";"VšĮ";"Ramybės kultūros centras";"Kamerinių spektaklių pristatymas Mini teatras""15";"5000.00";
"723";"1.2";"tarpsritiniai projektai";"BĮ";"Raseinių rajono kultūros centras";"Menas kultūros paveldo objektuose";"3200.00";
"724";"1.12";"literatūra";"VšĮ";"Rašytojų klubas";"Tęstinis renginių ciklas ""Kūrybos atodangos. Kitaip""";"10000.00";
"725";"1.12";"literatūra";"VšĮ";"Rašytojų sąjungos fondas";"Literatūros namai - Diemedis";"7000.00";
"726";"1.12";"literatūra";"VšĮ";"Rašytojų sąjungos fondas";"Virtualus Lietuvos rašytojų žinynas";"6100.00";
"727";"1.12";"literatūra";"VšĮ";"Rašytojų sąjungos fondas";"Almanacho ""Poezijos pavasaris 2015"" leidyba";"4000.00";
"728";"1.19";"kultūros paveldas";"VšĮ";"Raudondvario dvaras";"Virtuali Raudondvario dvaro sodybos edukacinė ekspozicija";"6500.00";
"729";"1.7";"cirkas";"Asociacija";"Raudonos nosys Gydytojai klounai";"Klounados profesinio meistriškumo dirbtuvių programa";"7000.00";"Veiklos užsienyje"
"730";"1.11";"muzika";"VšĮ";"REGNUM";"Arfos muzikos sklaida Lietuvos miestuose ir regionuose";"2500.00";
"731";"1.11";"muzika";"VšĮ";"Remigijaus akcija";"XIV Tarptautinis džiazo muzikos festivalis ""Šiauliai jazz 2015""";"5000.00";
"732";"1.15";"mėgėjų menas";"BĮ";"Rietavo Mykolo Kleopo Oginskio meno mokykla";"II tarptautinis kamerinės muzikos festivalis- konkursas ""Mykolo Kleopo Oginskio kūrybos perlai""";"3700.00";
"733";"1.15";"mėgėjų menas";"BĮ";"Rietavo savivaldybės kultūros centras";"Tarptautinis festivalis ""Oginskių sostinė - RieTAVAS""";"3000.00";
"734";"1.12";"literatūra";"UAB";"Right Thing";"Knygos ""Lėti ir tylūs dalykėliai"" leidyba";"3000.00";
